Component,Amount,Percentage,Behavioral_Maturity,Repricing,Method
Total Balance,18651.70481694874,100.0,N/A,N/A,N/A
Core Deposits,15586.373727163209,83.56541066959159,5 Years Max,Distributed 1M-5Y,Detrended Regression
Non-Core Deposits,3065.33108978553,16.43458933040841,O/N,Immediate (O/N),Detrended Regression
