Component,Amount,Percentage,Behavioral_Maturity,Repricing
Total Balance,18651.70481694874,100.0,N/A,N/A
Core Deposits,18583.415808999285,99.63387256757677,5 Years Max,Distributed 1M-5Y
Non-Core Deposits,68.28900794945366,0.36612743242322443,O/N,Immediate (O/N)
