Date,Balance,trend,residual,quantile_10,fitted_growth
2016-12-31,10000.0,10642.213030236187,-642.2130302361875,9901.546801497196,11372.113760875232
2017-01-01,9805.490428338524,10646.237648486423,-840.7472201478995,9904.886084846506,11374.894975683274
2017-01-02,9666.725902874894,10650.262266736658,-983.5363638617637,9908.225368195817,11377.676870677595
2017-01-03,9790.764802317157,10654.286884986894,-863.5220826697368,9911.564651545128,11380.459446024555
2017-01-04,9823.080103458042,10658.311503237128,-835.2313997790861,9914.903934894437,11383.242701890538
2017-01-05,9857.705993614012,10662.336121487364,-804.6301278733517,9918.243218243748,11386.026638441974
2017-01-06,9878.315111927655,10666.3607397376,-788.0456278099446,9921.582501593059,11388.81125584534
2017-01-07,9779.91607411131,10670.385357987834,-890.4692838765241,9924.92178494237,11391.596554267144
2017-01-08,9679.879175896767,10674.40997623807,-994.5308003413029,9928.26106829168,11394.382533873937
2017-01-09,9720.027201442645,10678.434594488304,-958.4073930456598,9931.600351640991,11397.169194832317
2017-01-10,9699.437221351252,10682.45921273854,-983.0219913872879,9934.939634990302,11399.956537308915
2017-01-11,9674.585102249102,10686.483830988776,-1011.898728739674,9938.278918339613,11402.74456147041
2017-01-12,9683.164668811243,10690.50844923901,-1007.3437804277673,9941.618201688922,11405.533267483514
2017-01-13,9691.541205437265,10694.533067489247,-1002.991862051982,9944.957485038232,11408.322655514985
2017-01-14,9595.873656112271,10698.55768573948,-1102.6840296272094,9948.296768387543,11411.11272573162
2017-01-15,9510.98045073734,10702.582303989717,-1191.6018532523776,9951.636051736854,11413.903478300259
2017-01-16,9551.56491014066,10706.606922239953,-1155.042012099293,9954.975335086165,11416.694913387779
2017-01-17,9678.755302408284,10710.631540490187,-1031.8762380819026,9958.314618435475,11419.487031161103
2017-01-18,9706.215696382844,10714.656158740423,-1008.4404623575792,9961.653901784786,11422.279831787186
2017-01-19,10121.525685733206,10718.680776990657,-597.1550912574512,9964.993185134095,11425.073315433037
2017-01-20,10240.351540899876,10722.705395240893,-482.3538543410177,9968.332468483406,11427.86748226569
2017-01-21,10133.96540386214,10726.73001349113,-592.76460962899,9971.671751832717,11430.662332452237
2017-01-22,10039.14177112627,10730.754631741363,-691.6128606150942,9975.011035182028,11433.457866159795
2017-01-23,10163.878204920326,10734.7792499916,-570.901045071274,9978.350318531338,11436.254083555534
2017-01-24,10347.539826089416,10738.803868241834,-391.26404215241746,9981.68960188065,11439.050984806656
2017-01-25,10559.755912326063,10742.82848649207,-183.07257416600623,9985.02888522996,11441.848570080409
2017-01-26,10695.651424386217,10746.853104742306,-51.20168035608913,9988.36816857927,11444.646839544079
2017-01-27,10785.319897762738,10750.87772299254,34.44217477019811,9991.70745192858,11447.445793364997
2017-01-28,10716.022638073542,10754.902341242776,-38.879703169233835,9995.04673527789,11450.245431710535
2017-01-29,10589.720901875891,10758.92695949301,-169.20605761711886,9998.386018627201,11453.045754748095
2017-01-30,10597.537400447134,10762.951577743246,-165.41417729611203,10001.725301976512,11455.846762645137
2017-01-31,10582.133288473284,10766.976195993482,-184.84290752019842,10005.064585325823,11458.64845556915
2017-02-01,10319.741494242731,10771.000814243716,-451.2593200009851,10008.403868675134,11461.450833687664
2017-02-02,10307.98304206539,10775.025432493952,-467.0423904285617,10011.743152024444,11464.253897168259
