Tenor,ZeroRate,Tenor_Years
1D,0.031779963599999995,0.0027397260273972603
1M,0.0318319272,0.08333333333333333
2M,0.0319589358,0.16666666666666666
3M,0.032085617999999996,0.25
6M,0.0321670932,0.5
9M,0.0318719346,0.75
1Y,0.0313467636,1.0
2Y,0.028742520599999998,2.0
3Y,0.0272576028,3.0
4Y,0.02660685,4.0
5Y,0.026356785,5.0
6Y,0.026276401199999997,6.0
7Y,0.0262676112,7.0
8Y,0.0262969884,8.0
9Y,0.026348737199999996,9.0
10Y,0.026413889399999998,10.0
