Component,Amount,Percentage,Behavioral_Maturity,Repricing
Total Balance,18651.70481694874,100.0,N/A,N/A
Core Deposits,8647.247665160101,46.36170124943419,5 Years Max,Distributed 1M-5Y
Non-Core Deposits,10004.457151788638,53.6382987505658,O/N,Immediate (O/N)
