Feature,Coefficient,Std_Error,t_statistic,p_value,Significant_5pct
const,-0.07576931333158315,0.011690164461198032,-6.481458287697875,1.0878575493845098e-10,True
log_balance,0.007821911820379708,0.0011530924172043987,6.783421435849391,1.4554698813616956e-11,True
trend,-1.3914709298690552e-06,2.361143120379033e-07,-5.893208750707509,4.2902784943968e-09,True
rolling_30d_decay,1.209687532433672,0.05293630535847829,22.851755978091283,2.9951340021282286e-105,True
dow_1,-0.0001877834700275478,0.00024169150287749004,-0.7769552002940399,0.4372576943316905,False
dow_2,-0.00034524945643658834,0.0002417244312307138,-1.4282770453891982,0.15333532062204552,False
dow_3,-0.0005589799973338735,0.0002418286105878463,-2.311471731881035,0.020886637752534014,True
dow_4,-0.005629232703276267,0.00024186971879812212,-23.273821672463,9.45478693189513e-109,True
dow_5,-0.006519831229458941,0.00024227077268617543,-26.911340386503742,1.5717215502486848e-140,True
dow_6,0.0003209208908045969,0.0002421736558048874,1.3251684611936236,0.1852347078647561,False
month_2,-0.0005219911655381974,0.00032238002904665553,-1.619179597079364,0.10553301800536706,False
month_3,-0.0005162143286071372,0.00031457528423840017,-1.6409881973306122,0.1009239185322875,False
month_4,-0.0002892733926125635,0.0003236901952582617,-0.8936736325354613,0.3715813698344599,False
month_5,-5.21896380294162e-06,0.0003230357865441492,-0.016155992680483858,0.9871112149974347,False
month_6,-9.62361067694992e-05,0.0003281873454882186,-0.2932352758036306,0.7693663244242578,False
month_7,5.127266628758513e-05,0.000325545709063947,0.15749759514573614,0.8748652462637796,False
month_8,-0.00010801284144733704,0.0003297066327272426,-0.32760287699972707,0.7432389981498635,False
month_9,0.0005224776458732579,0.0003392776974724575,1.539970501349186,0.1236923519318563,False
month_10,0.00013967956583781365,0.00032739546646652694,0.426638668352161,0.6696787559629198,False
month_11,0.0003508847471087,0.00033556960336521296,1.0456392461948318,0.29582731506948395,False
month_12,0.00044765429506376077,0.0003213994155628653,1.3928285908043294,0.16379376590075106,False
