path,balance_y1,rate_y1,rate_shift,core_ratio,eve_path,nii_path,dEVE_path,dNII_path,worst_dEVE,worst_dNII
308,19494.9285893411,0.04542131949726766,0.00792131949726766,0.8123779560163171,19378.028107680788,891.4242321333269,824.7217518708567,185.95774370121,775.5095140377198,-203.94082808561183
309,22812.408304703975,0.037753669319372,0.0002536693193719991,0.8748580989140154,22689.466025860478,868.7360799630324,4136.159670050547,163.26959153091548,4073.633750273544,-292.978574563164
310,20563.709597519523,0.046987035439008,0.009487035439008001,0.8339270980923251,20432.977741792194,972.6583632115525,1879.671385982263,267.1918747794356,1826.516977422776,-144.08231717095487
311,17927.69490731571,0.05113003592619219,0.013630035926192191,0.9113759436135143,17792.76803071062,922.7706404463511,-760.5383250993109,217.3041520142342,-810.8350867420377,-141.24974613207985
312,18951.661481526946,0.04406166439406311,0.00656166439406311,0.8227743748796078,18839.931477484697,840.8889860058432,286.625121674766,135.42249757372633,238.1018505894972,-243.61073205681276
313,18959.064481895322,0.03369294526296687,-0.003807054737033126,0.908126876851055,18864.18919307331,645.2430584198012,310.88283726337977,-60.2234300123157,256.7018569000502,-439.4047196502222
314,22989.157362886966,0.0379512094777166,0.0004512094777166034,0.9037602127376181,22860.59597883365,880.2574308017977,4307.28962302372,174.7909423696808,4242.253593015539,-284.99220488805867
315,17902.459285683133,0.044391518001902164,0.006891518001902165,0.8644477660446297,17790.872817353003,800.5206324349746,-762.4335384569276,95.0541440028577,-810.5250244127201,-262.99504171080497
316,22850.588884020126,0.030107006244732636,-0.007392993755267363,0.8551851394211805,22753.990393507378,695.2907346980038,4200.684037697447,-10.175753734113073,4138.8374225644475,-467.18753141451555
317,13434.364583039694,0.03882233068618356,0.001322330686183558,0.8798497436943724,13359.555450239877,525.9858406104178,-5193.750905570054,-179.4806478216991,-5230.728885318285,-448.16793948249295
318,17140.615461361773,0.05043271028630506,0.012932710286305063,0.8629700989235883,17019.949596065446,869.994524140787,-1533.3567597444853,164.52803570867013,-1578.9779268736165,-178.28427351856556
319,21499.480200754562,0.044790486735063355,0.007290486735063356,0.8559662627893289,21365.60794361416,969.873108236417,2812.301587804228,264.40661980430014,2755.1317559989184,-165.58298421079098
320,16082.701941029614,0.05345530066240647,0.01595530066240647,0.8305370556185493,15967.360007721889,864.7145492310685,-2585.946348088042,159.24806079895166,-2627.01916199687,-162.40597802164052
321,19032.869115768503,0.04425736873120365,0.006757368731203653,0.9097633142969983,18908.501791411574,848.8378561166838,355.1954356016431,143.37136768456696,301.4298953014477,-237.2860146308032
322,23488.29222270708,0.045717033963240436,0.008217033963240437,0.9212336512415259,23327.951691045524,1081.9292207365686,4774.645335235593,376.4627323044517,4707.595648093651,-93.30311214969004
323,16923.38198311017,0.03442877831770221,-0.0030712216822977867,0.8272121701911158,16844.458845195426,587.900973817605,-1708.8475106145052,-117.56551461451193,-1752.9396856247076,-456.0331542767153
324,18630.11249343205,0.045404432687184706,0.007904432687184708,0.8473014010588029,18513.734690459285,851.8090674625,-39.57166535064607,146.34257903038315,-88.58200145217415,-226.2596708382577
325,30392.706602285907,0.04370390784224782,0.006203907842247822,0.9574781756291189,30186.414144075054,1339.1924663944123,11633.107788265123,633.7259779622955,11542.769147380954,25.871845916577513
326,24942.68708986284,0.026081755366526852,-0.011418244633473146,0.9347509503416455,24842.678847799372,659.2920911735495,6289.372491989441,-46.17439725856741,6215.324887720955,-545.0281390558132
327,18540.216233734063,0.02600321756617193,-0.011496782433828068,0.8113604864212017,18475.70955484452,487.7462151392934,-77.59680096540978,-217.7202732928235,-125.50601821354212,-588.5245979674963
328,19454.964317762042,0.04381389120511135,0.0063138912051113535,0.9738640582517082,19320.364202378445,859.502484298185,767.0578465685139,154.0359958660681,708.2661310019357,-235.06329048917286
329,21212.608817737953,0.040099382809445396,0.002599382809445397,0.8658034078604381,21092.62352677059,857.4996168668545,2539.3171709606577,152.0331284347376,2481.936678506536,-272.21904792002147
330,15399.859480473986,0.05549442951431108,0.01799442951431108,0.8688083601153969,15280.188648376557,859.6236403442151,-3273.1177074333737,154.15715191209824,-3314.118222181265,-153.84003769738138
331,21306.154403669032,0.02435583104760501,-0.013144168952394987,0.8364066173210053,21234.519541655718,525.6116937704587,2681.213185845787,-179.85479466165816,2624.3720110750655,-605.9762892131754
332,21645.578446117324,0.03362890669185257,-0.0038710933081474302,0.9030190467089717,21538.056955241886,735.246882380599,2984.7505994319545,29.78039394848213,2923.2286644878914,-403.1311749738644
