Date,Balance,NetCDR,Stress_P85,Stress_P90,Stress_P95
2016-12-31,10000.0,0.01945095716614763,True,True,True
2017-01-01,9805.490428338524,0.014151716987310534,True,True,True
2017-01-02,9666.725902874894,0.0,False,False,False
2017-01-03,9790.764802317157,0.0,False,False,False
2017-01-04,9823.080103458042,0.0,False,False,False
2017-01-05,9857.705993614012,0.0,False,False,False
2017-01-06,9878.315111927655,0.009961115504154523,True,True,True
2017-01-07,9779.91607411131,0.010228809476121299,True,True,True
2017-01-08,9679.879175896767,0.0,False,False,False
2017-01-09,9720.027201442645,0.0021183047809100494,False,False,False
2017-01-10,9699.437221351252,0.0025622227903535875,False,False,False
2017-01-11,9674.585102249102,0.0,False,False,False
2017-01-12,9683.164668811243,0.0,False,False,False
2017-01-13,9691.541205437265,0.009871242075648419,True,True,True
2017-01-14,9595.873656112271,0.008846844843654002,True,True,True
2017-01-15,9510.98045073734,0.0,False,False,False
2017-01-16,9551.56491014066,0.0,False,False,False
2017-01-17,9678.755302408284,0.0,False,False,False
2017-01-18,9706.215696382844,0.0,False,False,False
2017-01-19,10121.525685733206,0.0,False,False,False
2017-01-20,10240.351540899876,0.010388914541930663,True,True,True
2017-01-21,10133.96540386214,0.009357011688606323,True,True,True
2017-01-22,10039.14177112627,0.0,False,False,False
2017-01-23,10163.878204920326,0.0,False,False,False
2017-01-24,10347.539826089416,0.0,False,False,False
2017-01-25,10559.755912326063,0.0,False,False,False
2017-01-26,10695.651424386217,0.0,False,False,False
2017-01-27,10785.319897762738,0.006425146434791445,False,False,False
2017-01-28,10716.022638073542,0.011786251341883661,True,True,True
2017-01-29,10589.720901875891,0.0,False,False,False
2017-01-30,10597.537400447134,0.0014535558018602091,False,False,False
2017-01-31,10582.133288473284,0.024795737029353403,True,True,True
2017-02-01,10319.741494242731,0.0011394134420810531,False,False,False
2017-02-02,10307.98304206539,0.0027343813959709085,False,False,False
2017-02-03,10279.797085005182,0.007758072700221842,True,True,False
2017-02-04,10200.045671876183,0.009156096898355507,True,True,True
2017-02-05,10106.653065336834,0.0,False,False,False
2017-02-06,10124.89044124474,0.0,False,False,False
2017-02-07,10127.243960458576,0.002418924804052197,False,False,False
2017-02-08,10102.746918845934,0.010126168283532194,True,True,True
2017-02-09,10000.444803419765,0.0,False,False,False
2017-02-10,10005.835215699351,0.008386532269357047,True,True,False
2017-02-11,9921.92095578102,0.008837697772247298,True,True,True
2017-02-12,9834.2340170537,0.0,False,False,False
2017-02-13,9845.47941676484,0.0005481567495900183,False,False,False
2017-02-14,9840.08255076959,0.00024383408179318896,False,False,False
2017-02-15,9837.683203276054,0.0,False,False,False
2017-02-16,10079.577715338875,0.0,False,False,False
2017-02-17,10087.307915084071,0.008328758391736418,True,True,False
2017-02-18,10003.293164636283,0.007759792483483253,True,True,False
2017-02-19,9925.66968552726,0.0,False,False,False
2017-02-20,10130.010292531584,0.0,False,False,False
2017-02-21,10172.890335295231,0.0,False,False,False
2017-02-22,10213.347201246725,0.0,False,False,False
2017-02-23,10627.601438040105,0.0,False,False,False
2017-02-24,10809.85835237983,0.008864561789424174,True,True,True
2017-02-25,10714.033695080236,0.009782411226742062,True,True,True
2017-02-26,10609.224611577789,0.0,False,False,False
2017-02-27,10750.869305468128,0.0,False,False,False
2017-02-28,10969.76592156215,0.0107139429377811,True,True,True
2017-03-01,10852.236475437716,0.002680643248630911,False,False,False
2017-03-02,10823.145500997289,0.004188777259370985,False,False,False
2017-03-03,10777.809755247848,0.011260044289673378,True,True,True
2017-03-04,10656.451140058083,0.01039222610171804,True,True,True
2017-03-05,10545.70689036869,0.0,False,False,False
2017-03-06,10603.250978436226,0.0,False,False,False
2017-03-07,10629.861935718362,0.004538080539657465,False,False,False
2017-03-08,10581.622766128634,0.0026224804664544484,False,False,False
2017-03-09,10553.872667121072,0.0018174313588061306,False,False,False
2017-03-10,10534.691727979,0.003314276094947787,False,False,False
2017-03-11,10499.776851017314,0.009625877358385639,True,True,True
2017-03-12,10398.707286759003,0.00035845120753336633,False,False,False
2017-03-13,10394.97985757528,0.000914998891805526,False,False,False
2017-03-14,10385.46846252526,0.0014249003313514506,False,False,False
2017-03-15,10370.670205071769,0.0,False,False,False
2017-03-16,10425.243845359064,0.0010344328760331558,False,False,False
2017-03-17,10414.459630384765,0.008926915910104513,True,True,True
2017-03-18,10321.49062501514,0.00889389818862531,True,True,True
2017-03-19,10229.692338241404,0.0,False,False,False
2017-03-20,10360.698106083995,0.002963868006977459,False,False,False
2017-03-21,10329.99036443742,0.0,False,False,False
2017-03-22,10404.93578952682,0.0,False,False,False
2017-03-23,10878.346984002714,0.0,False,False,False
2017-03-24,11103.328328181728,0.010271652746555957,True,True,True
2017-03-25,10989.278795263648,0.00880702497137755,True,True,True
2017-03-26,10892.49594249633,0.0,False,False,False
2017-03-27,10945.545404739998,0.0,False,False,False
2017-03-28,11030.206094627349,0.0,False,False,False
2017-03-29,11033.118319275036,0.0,False,False,False
2017-03-30,11113.388003861884,0.0,False,False,False
2017-03-31,11225.416675891818,0.019382357665510178,True,True,True
2017-04-01,11007.8416349353,0.011340960622403338,True,True,True
2017-04-02,10883.002136415846,0.0,False,False,False
2017-04-03,10910.143917569863,0.0038529521244569267,False,False,False
2017-04-04,10868.10765538453,0.0,False,False,False
2017-04-05,10868.430399288382,0.0,False,False,False
2017-04-06,10871.7599118535,9.78777627464705e-05,False,False,False
2017-04-07,10870.695808316212,0.005651908775855785,False,False,False
2017-04-08,10809.255627277533,0.009297943699941212,True,True,True
