Metric,Value
Total Balance,"18,651.70"
Core Deposits,"15,586.37"
Non-Core Deposits,"3,065.33"
Weighted Avg Maturity,2.593 years
EVE Base,"17,440.96"
Worst EVE Scenario,(a) +200 bps Parallel
Worst ΔEVE,-804.19
Worst ΔEVE %,-4.61%
Worst NII Scenario,(b) −200 bps Parallel
Worst ΔNII,-116.34
Binding Constraint,Different
