Bucket,Start_Days,End_Days,Midpoint_Years,S(t_start),S(t_end),Marginal_Decay,Core_CF,Non_Core_CF,Total_CF,CF_Percent,DF_Base,PV_Base,DF_S1,DF_S2,DF_S3,DF_S4,PV_S1,PV_S2,PV_S3,PV_S4,Shock_S1_bps,Shock_S2_bps,Shock_S3_bps,Shock_S4_bps,Time_Factor,ΔNII_S1,ΔNII_S2,ΔNII_S3,ΔNII_S4
O/N,0,1,0.0027397260273972,1.0,0.981447788768573,0.018552211231427,176.4497183400522,9140.7243662114,9317.174084551452,49.95347168525297,0.9999142901643656,9316.375511092088,0.9998616974212248,0.9999679152545844,0.9998617116924232,0.999861725963696,9315.88549534866,9316.875145392958,9315.8856283159,9315.885761283836,200.0,-200.0,199.94520547945206,199.89041095890414,0.9972602739726028,185.8329516042043,-185.8329516042043,185.78203846677852,185.73112532935272
1M,1,30,0.0417,0.981447788768573,0.5701853128223442,0.4112624759462288,3911.509368846417,0.0,3911.509368846417,20.971323571945245,0.9986942219983108,3906.401805959176,0.9978950483127894,0.999509697622824,0.9979014260195984,0.9979078047768618,3903.275830600924,3909.591546504526,3903.300777060859,3903.325727629656,200.0,-200.0,199.166,198.332,0.9583,74.96798856331043,-74.96798856331043,74.65537205100142,74.34275553869242
2M,30,60,0.125,0.5701853128223442,0.3251112909583145,0.2450740218640297,2330.894230932362,0.0,2330.894230932362,12.496950031153649,0.9960804705152396,2321.7582222683645,0.993693242658312,0.9985203265158452,0.9937260477044628,0.9937588631937876,2316.193846628731,2327.4452685444817,2316.2703117215497,2316.3468011563023,200.0,-200.0,197.5,195.0,0.875,40.790649041316335,-40.790649041316335,40.28076592829988,39.77088281528343
3M,60,90,0.2083,0.3251112909583145,0.1853736831371427,0.1397376078211717,1329.041656219966,0.0,1329.041656219966,7.125577362838547,0.9934533081838652,1320.340830085889,0.9894893422238992,0.9975111986776428,0.9895742474867176,0.9896591962722052,1315.0725542012556,1325.7339355884978,1315.1853968323735,1315.2982973069318,200.0,-200.0,195.834,191.668,0.7917,21.04404558458694,-21.04404558458694,20.605698115059994,20.16735064553305
6M,90,180,0.375,0.1853736831371427,0.0343634023998297,0.1510102807373129,1436.2558279529412,0.0,1436.2558279529412,7.700399733153724,0.9882072412881324,1419.318409525379,0.9811206933931172,0.995485159144683,0.9814122647163336,0.9817041725461888,1409.1403138110954,1429.771361462212,1409.559084823329,1409.9783391451836,200.0,-200.0,192.5,185.00000000000003,0.625,17.953197849411765,-17.953197849411765,17.279952930058826,16.606708010705887
9M,180,270,0.625,0.0343634023998297,0.0063700704679801,0.0279933319318495,266.24403275482285,0.0,266.24403275482285,1.4274514601629755,0.9805117954726228,261.05541459030314,0.9688192196879848,0.9925785030459958,0.9695682711178814,0.9703188632879128,257.94233606010977,264.26810347671113,258.14176653354616,258.34160721984955,200.0,-200.0,187.5,175.00000000000003,0.375,1.996830245661171,-1.996830245661171,1.8720283553073482,1.7472264649535254
1Y,270,365,0.875,0.0063700704679801,0.001075296717253,0.0052947737507271,50.358489634242666,0.0,50.358489634242666,0.2699940307251811,0.9731683358846128,49.007287555018465,0.9569537167511796,0.9899833125816232,0.9583779661214624,0.9598068125658809,48.190743825464274,49.85406438471488,48.26246687261423,48.3344214214744,200.0,-200.0,182.5,165.0,0.125,0.12589622408560666,-0.12589622408560666,0.11488030447811609,0.1038643848706255
