Date,Balance,Inflow,Outflow,Netflow,Netflow_Calculated,daily_decay_rate,decay_rate_ma30,decay_rate_ma90,balance_ma30,balance_ma90,day_of_week,day_name,month,month_name,year,is_weekend,is_business_day,quarter,is_month_end,is_quarter_end,is_year_end,days_since_start,balance_expanding_min,balance_expanding_max,balance_expanding_mean,balance_expanding_std,distance_from_expanding_min,distance_from_expanding_max,balance_pct_of_expanding_max,balance_std30,balance_min30,balance_max30,balance_std90,balance_vs_ma30,balance_vs_ma90,volatility_coef_30d,volatility_coef_90d,decay_ma30,decay_std30,decay_ma90,decay_change,inflow_outflow_ratio,net_flow,net_flow_pct,outflow_ma30,outflow_std30,inflow_ma30
2020-12-25,17124.915891324177,115.56257998229223,220.557496632631,-104.99491665033877,-104.99491665033877,0.0128793331326298,0.0169798963796606,0.0166020020216232,17045.19947803589,16874.626500119488,4,Friday,12,December,2020,0,1,4,0,0,0,1455,9510.98045073734,17365.039534988973,13267.248473656986,1807.0935845139581,7613.935440586838,240.12364366479596,0.9861720070846387,188.35668009334205,16627.85187358946,17320.294034338283,265.50665755882613,1.0046767662291667,1.0148322922112034,0.011050423923524906,0.015734076102777512,0.01697989637966061,0.0036204535620001786,0.01660200202162321,0.00018865505364929966,0.5239567085528618,-104.99491665033877,-0.006131120136101298,289.5648479019104,62.851940581474366,284.9367081627485
2020-12-26,17019.920974673838,117.24100259016068,214.9248049994478,-97.6838024092871,-97.6838024092871,0.0126278380093105,0.016771139945993,0.0165120087664954,17040.57133829673,16877.41431757047,5,Saturday,12,December,2020,1,0,4,0,0,0,1456,9510.98045073734,17365.039534988973,13269.824089649448,1809.1461572056637,7508.940523936499,345.11856031513526,0.9801256680343426,187.17207423883193,16627.85187358946,17320.294034338283,265.7024739143774,0.99878816483245,1.0084436309035212,0.010983908375078021,0.015743079414585685,0.016771139945993028,0.0036864399503476913,0.016512008766495404,-0.0002514951233193001,0.5454977734676177,-97.68380240928711,-0.005739380491521881,285.924401880629,63.93392643058659,273.45311643939317
2020-12-27,16922.237172264548,472.0999147210932,366.6706705107114,105.42924421038184,105.42924421038184,0.0216679784580541,0.0169680990698818,0.0165296574862851,17028.100052855494,16877.6299111325,6,Sunday,12,December,2020,1,0,4,0,0,0,1457,9510.98045073734,17365.039534988973,13272.329174068253,1811.0530135233917,7411.256721527208,442.8023627244256,0.9745003538959863,181.93114198316323,16627.85187358946,17320.294034338283,265.731201746279,0.993783048005218,1.0026429813526498,0.010684171541067182,0.01574458043845377,0.01696809906988178,0.0037869857605992655,0.01652965748628506,0.0090401404487436,1.2875311626739505,105.42924421038185,0.0062302190388384224,289.06085334765913,65.54428663902897,283.193498312914
2020-12-28,17027.66641647493,362.4083948954736,352.2399968322614,10.168398063212235,10.168398063212235,0.0206863341233567,0.0171739998470927,0.0165231784840232,17022.232697820746,16878.58692930365,0,Monday,12,December,2020,0,1,4,0,0,0,1458,9510.98045073734,17365.039534988973,13274.903085817672,1813.0993704255534,7516.685965737592,337.3731185140423,0.980571704554184,178.88600540328815,16627.85187358946,17320.294034338283,266.1187548915737,1.0003192130404186,1.0088324625631107,0.010508962518541404,0.01576664895030717,0.017173999847092714,0.0038164993513560347,0.01652317848402325,-0.0009816443346973985,1.0288678121583519,10.16839806321218,0.0005971692077179677,292.4817318190855,66.09032515058844,291.1164282480208
2020-12-29,17037.834814538142,419.4328965757318,362.29019711279494,57.14269946293683,57.14269946293683,0.021263863692566,0.0172000504738644,0.0164494740133269,17020.867394249686,16878.196511473456,1,Tuesday,12,December,2020,0,1,4,1,1,1,1459,9510.98045073734,17365.039534988973,13277.480436316797,1815.1513937772734,7526.854363800803,327.2047204508308,0.9811572717821032,178.59549916450175,16627.85187358946,17320.294034338283,265.85601648575675,1.000996859907045,1.009458255978722,0.010492737827499807,0.015751446921774683,0.017200050473864432,0.0038424392036063943,0.016449474013326925,0.000577529569209298,1.1577263197246987,57.14269946293683,0.003353870963356082,292.89761347621595,66.50151005971357,285.3870627983093
2020-12-30,17094.97751400108,493.7441973197446,359.8102109443042,133.93398637544044,133.93398637544044,0.0210477147834569,0.0169445008701969,0.0164432084914548,17013.35684357178,16879.312272304964,2,Wednesday,12,December,2020,0,1,4,1,1,1,1460,9510.98045073734,17365.039534988973,13280.09337066155,1817.2761916223544,7583.99706326374,270.06202098789436,0.9844479466664188,170.10523753243157,16627.85187358946,17226.079526793772,266.55965109871147,1.0047974465697602,1.0127768974361575,0.009998334784631469,0.01579209192877331,0.01694450087019694,0.0032612430392361695,0.01644320849145479,-0.00021614890910909984,1.372235090338146,133.93398637544044,0.00783469801383162,288.313339271801,55.80194429082912,288.45504991100404
2020-12-31,17228.911500376522,156.78540713750385,352.7406888193642,-195.95528168186036,-195.95528168186036,0.0204737652063309,0.0168880744355849,0.0164983587343533,17013.49855421098,16882.283874312903,3,Thursday,12,December,2020,0,1,4,1,1,1,1461,9510.98045073734,17365.039534988973,13282.794340654515,1819.587305631464,7717.931049639183,136.1280346124513,0.992160799038887,170.2890109604772,16627.85187358946,17228.911500376522,268.9656773277153,1.012661296292421,1.0205320339738528,0.010009053130246942,0.015931830037342148,0.016888074435584943,0.0031814428732895197,0.016498358734353333,-0.000573949577125997,0.44447780510456636,-195.95528168186036,-0.011373630985194737,287.344314460727,54.35600152459252,282.43756798224706
2021-01-01,17032.95621869466,124.3387689527612,258.53449794078233,-134.19572898802113,-134.19572898802113,0.0151784866127364,0.0167306703730265,0.0165058235705565,17008.5918077325,16884.52080216894,4,Friday,1,January,2021,0,1,1,0,0,0,1462,9510.98045073734,17365.039534988973,13285.357677549962,1821.6054059624373,7521.975767957321,332.0833162943127,0.9808763282326427,167.4177936232016,16627.85187358946,17228.911500376522,269.37655728214946,1.001432476670472,1.0087912128667964,0.009843130784471504,0.01595405403791774,0.016730670373026505,0.0031438491225474915,0.016505823570556473,-0.005295278593594502,0.4809368573366993,-134.19572898802113,-0.007878592962079801,284.565610713899,53.59657669212054,275.2016910239812
2021-01-02,16898.76048970664,118.5137923557808,229.58885327170577,-111.07506091592498,-111.07506091592498,0.0135861357057254,0.0165686549159557,0.0164266708797518,16999.227888042584,16886.72518074421,5,Saturday,1,January,2021,1,0,1,0,0,0,1463,9510.98045073734,17365.039534988973,13287.825848869741,1823.4299112698725,7387.780038969302,466.27904528233194,0.9731484028963584,165.36216543800344,16627.85187358946,17228.911500376522,268.66345288222846,0.9940898846113704,1.0007127082861604,0.009727628015053598,0.015909742712493662,0.016568654915955654,0.003177431446896227,0.016426670879751804,-0.0015923509070110003,0.5162001145392118,-111.07506091592498,-0.006572970898284695,281.6550178337274,54.14780319591691,268.0249274803095
2021-01-03,16787.685428790715,451.2964008717959,363.43956636394125,87.85683450785467,87.85683450785467,0.02164917658873,0.016796680259103,0.0164498770681741,16985.597797689163,16886.935098460373,6,Sunday,1,January,2021,1,0,1,0,0,0,1464,9510.98045073734,17365.039534988973,13290.214831518151,1825.0990769979492,7276.704978053376,577.3541061982578,0.9667519267644084,165.38570272963818,16627.85187358946,17228.911500376522,268.5776392603071,0.9883482246986107,0.994122694906389,0.009736819669198713,0.01590446328444728,0.016796680259103025,0.003290212450644436,0.016449877068174114,0.008063040883004602,1.2417371212133699,87.85683450785467,0.005233409625199497,285.2811955121951,55.891751399279585,278.8080500976739
