Day,S(t)_1.0x (Base),S(t)_1.5x Stress,S(t)_2.0x Stress
0,1.0,1.0,1.0
1,0.981447788768573,0.9721716831528595,0.9628955775371459
2,0.9632397620787214,0.9451177815242638,0.9271678932405938
3,0.9453695345461275,0.9188167444421401,0.8927658640358005
4,0.9278308392494719,0.8932476209533462,0.8596403022562012
5,0.9106175255326835,0.868390043134502,0.8277438453151915
6,0.8937235568479617,0.8442242098672531,0.7970308879875894
7,0.877143008638816,0.8207308710650404,0.7674575172037541
8,0.8608700662623793,0.7978913123388128,0.7389814492631329
9,0.8448990229502671,0.7756873400894676,0.7115619693774615
10,0.8292242778072674,0.7541012670151422,0.6851598734571798
11,0.8138403338471595,0.7331158980218148,0.659737412057829
12,0.7987417960649719,0.7127145165259878,0.6352582364062852
13,0.7839233695450051,0.692880871138546,0.6116873464296588
14,0.7693798576039541,0.6735991627191799,0.5889910407125506
15,0.7551061599684803,0.6548540317910619,0.567136868311116
16,0.7410972709865933,0.6366305463057529,0.5460935823550404
17,0.7273482778722159,0.6189141897485883,0.5258310953710855
18,0.7138543589823159,0.6016908495750733,0.5063204362643315
19,0.700610782126001,0.584946805969073,0.48753370889560316
20,0.6876129029049841,0.5686687209138429,0.4694440521958586
21,0.6748561630848362,0.5528436275671943,0.4520256017605093
22,0.6623360889964559,0.537458919932332,0.4352534528687616
23,0.6500482899671964,0.5225023428161331,0.4191036248751031
24,0.6379884567810971,0.5079619820668725,0.40355302692202377
25,0.6261523601676819,0.4938262550836141,0.38857942492494546
26,0.6145358493187946,0.4800839015897104,0.37416140978215745
27,0.6031348504329479,0.4667239746630606,0.3602783667643032
28,0.5919453652866807,0.45373583201598017,0.34691044603965343
29,0.580963469832418,0.44110912751773856,0.334038534293021
30,0.5701853128223442,0.4288338029530092,0.3216442273977402
31,0.5596071144578068,0.41690008000966866,0.3097098041016361
32,0.5492251650637762,0.40529845248956137,0.2982182006893612
33,0.5390358237878976,0.39401967873602617,0.287152986584871
34,0.5290355173236783,0.3830547742721515,0.27649834085915564
35,0.5192207386573621,0.3723950046438962,0.26623902960963935
36,0.5095880458380532,0.3620318784623735,0.25636038417890294
37,0.5001340607706555,0.35195714063975714,0.24684828018158939
38,0.4908554680312069,0.34216276581342037,0.23768911730950273
39,0.481749013704191,0.3326409519530706,0.22886979988602807
40,0.47281150424141916,0.3233841141457861,0.220377718142068
41,0.4640398053420836,0.3143848785540053,0.21220073018672495
42,0.455430840853587,0.3056360765416547,0.2043271446469506
43,0.4469815916927648,0.29713073896373665,0.19674570395134144
44,0.4386890947871212,0.28886209061482876,0.18944556823417927
45,0.43055044203570697,0.2808235448320719,0.18241629983670282
46,0.42256277928927627,0.27300869824834784,0.17564784838345116
47,0.41472330534936275,0.26541132569146747,0.16913053641234024
48,0.40702927098592573,0.2580253752253057,0.16285504553792765
49,0.3994779779732211,0.2508449633289336,0.15681240312808103
50,0.39206677814355856,0.24386437020990667,0.15099396947500135
51,0.3847930724586142,0.23707803524797702,0.1453914254422576
52,0.3776543100979722,0.2304805525655988,0.13999676057017152
53,0.3706479875645758,0.22406666672169928,0.13480226162254486
54,0.3637716478067744,0.2178312685252852,0.12980050155835376
55,0.3570228793566589,0.21176939096554903,0.12498432891264227
56,0.35039931548438186,0.20587620525523376,0.12034685757143128
57,0.34389863336816817,0.2001470169841042,0.11588145692602397
58,0.3375185532797228,0.19457726237946052,0.11158174239262975
