Date,Actual_Balance,Predicted_Pure_Decay,Predicted_Monthly_Reanchored,Error_Pure,Pct_Error_Pure
2023-01-04,18676.45701328788,17715.8004842542,17715.8004842542,960.6565290336803,5.143676492549924
2023-01-05,18742.139235024828,17384.247909475453,17384.247909475453,1357.8913255493753,7.24512452138752
2023-01-06,18782.570089726178,17058.900366749313,17058.900366749313,1723.6697229768652,9.176964146773981
2023-01-07,18665.782747227942,16739.64172842152,16739.64172842152,1926.141018806422,10.319101239365242
2023-01-08,18536.057457293813,16426.35804017583,16426.35804017583,2109.699417117983,11.381597310963398
2023-01-09,18565.42571478348,16118.937480359838,16118.937480359838,2446.488234423641,13.17765760941062
2023-01-10,18546.590620069182,15817.270320071995,15817.270320071995,2729.3202999971872,14.71602169858541
2023-01-11,18580.41901944901,15521.248883995626,15521.248883995626,3059.1701354533852,16.464484101522178
2023-01-12,18527.62558208041,15230.767511965932,15230.767511965932,3296.8580701144783,17.79428268079392
2023-01-13,18798.94708496923,14945.72252125625,14945.72252125625,3853.22456371298,20.497023297617773
2023-01-14,18668.17862766298,14666.012169570167,14666.012169570167,4002.166458092812,21.4384409851441
2023-01-15,18555.632522443448,14391.536618726203,14391.536618726203,4164.095903717245,22.441142325278747
2023-01-16,18676.04405153516,14122.19789902216,14122.19789902216,4553.846152512999,24.38335516850891
2023-01-17,19148.49662422575,13857.899874266383,13857.899874266383,5290.596749959368,27.629306121431807
2023-01-18,19244.444687494797,13598.548207463477,13598.548207463477,5645.896480031321,29.33779889060697
2023-01-19,19410.818339230416,13344.050327142191,13344.050327142191,6066.768012088225,31.254571064770243
2023-01-20,19548.241495027243,13094.315394313531,13094.315394313531,6453.926100713712,33.015379426100736
2023-01-21,19416.65725399621,12849.254270047184,12849.254270047184,6567.402983949027,33.823551078017644
2023-01-22,19351.633999859776,12608.77948365481,12608.77948365481,6742.854516204967,34.84385099601319
2023-01-23,19254.915790635536,12372.805201468756,12372.805201468756,6882.110589166779,35.74209653263628
2023-01-24,19150.340012266995,12141.247196205099,12141.247196205099,7009.092816061897,36.60035702536943
2023-01-25,19208.258431337857,11914.022816900035,11914.022816900035,7294.235614437823,37.97447665810991
2023-01-26,19181.61414517493,11691.05095940893,11691.05095940893,7490.563185766001,39.05074478651332
2023-01-27,19227.099006735472,11472.25203745749,11472.25203745749,7754.846969277982,40.332901841101304
